Source,Target,Weight
chandler,estelle,3
rachel,tommy,3
ross,tommy,3
estelle,rachel,3
phoebe,vince,3
monica,robin,3
billy,monica,3
billy,robin,3
bonnie,monica,3
cheryl,ross,3
rachel,tim,3
joshua,mr. waltham,3
joshua,monica,3
emily,joshua,3
chandler,joshua,3
mr. waltham,phoebe,3
dan,monica,3
chandler,dan,3
danny,joey,3
krista,rachel,3
danny,krista,3
kara,monica,3
chandler,kara,3
doug,kara,3
joey,katie,3
katie,ross,3
kyle,ross,3
grandma tribbiani,monica,3
caitlin,chandler,3
caitlin,rachel,3
caitlin,ross,3
grandma tribbiani,rachel,3
grandma tribbiani,joey,3
grandma tribbiani,phoebe,3
jack,phoebe,3
erin,phoebe,3
cecilia,dina,3
estelle,monica,3
estelle,phoebe,3
melissa,phoebe,3
helena,monica,3
chandler,helena,3
monica,mr. bing,3
mr. bing,mrs. bing,3
mr. bing,mr. geller,3
mr. bing,mrs. geller,3
mr. bing,ross,3
mr. bing,phoebe,3
mr. geller,mrs. bing,3
mrs. bing,mrs. geller,3
mona,rachel,3
mona,phoebe,3
eric,ursula,3
eric,joey,3
dr. green,mona,3
dr. green,phoebe,3
monica,will,3
chandler,will,3
rachel,will,3
joey,will,3
ross,will,3
phoebe,will,3
david,mike,3
amy,phoebe,3
chandler,molly,3
monica,zack,3
laura,monica,3
chandler,laura,3
joey,laura,3
donny,gene,3
gene,joey,3
chandler,paul,2
paul,rachel,2
joey,paul,2
leslie,monica,2
chandler,leslie,2
joanne,leslie,2
leslie,rachel,2
kiki,leslie,2
joey,leslie,2
joanne,rachel,2
joanne,kiki,2
kiki,rachel,2
bob,joey,2
aurora,monica,2
aurora,joey,2
aurora,ross,2
aurora,phoebe,2
aunt lillian,monica,2
david,ross,2
monica,sandy,2
janice,sandy,2
fun bobby,janice,2
chandler,sandy,2
chandler,roger,2
mr. tribbiani,ronni,2
joey,roger,2
mr. tribbiani,rachel,2
mr. tribbiani,phoebe,2
monica,ursula,2
luisa,monica,2
luisa,rachel,2
luisa,ross,2
monica,paulo,2
chandler,paulo,2
paulo,rachel,2
joey,paulo,2
paulo,phoebe,2
rachel,stephanie,2
phoebe,terry,2
monica,russ,2
ross,russ,2
fun bobby,russ,2
rachel,susie,2
joey,susie,2
rob,ross,2
ross,susie,2
erica,ross,2
chandler,michelle,2
chandler,richard,2
richard,ross,2
phoebe,richard,2
gunther,janice,2
margha,ross,2
chandler,sarah,2
chandler,joey's sisters,2
joey,joey's sisters,2
joey,robert,2
chandler,chloe,2
chloe,rachel,2
alice,ross,2
chandler,sophie,2
cailin,ross,2
joey,robin,2
billy,joey,2
gunther,kathy,2
cheryl,monica,2
chandler,tim,2
joey,tim,2
ross,tim,2
joshua,phoebe,2
carol,emily,2
emily,susan,2
felicity,joey,2
dan,frank,2
dan,phoebe,2
monica,tom,2
rachel,tom,2
danny,phoebe,2
chandler,danny,2
gary,rachel,2
caitlin,monica,2
caitlin,phoebe,2
janine,rachel,2
jill,monica,2
jill,phoebe,2
joey,terry,2
kyle,phoebe,2
chandler,mr. bing,2
mr. bing,rachel,2
eric,rachel,2
dr. green,joey,2
bobby,joey,2
bobby,dina,2
aunt lisa,monica,2
aunt lisa,chandler,2
aunt lisa,mr. geller,2
aunt lisa,rachel,2
aunt lisa,joey,2
aunt lisa,mrs. geller,2
aunt lisa,ross,2
aunt lisa,phoebe,2
julie,marc,2
marc,rachel,2
marc,ross,2
gavin,mr. zelner,2
gavin,ross,2
gavin,monica,2
molly,monica,2
joey,steve,2
charlie,mike,2
bill,monica,2
bill,chandler,2
amanda,chandler,2
judy,monica,2
chandler,judy,2
jack,judy,2
judy,rachel,2
joey,judy,2
judy,ross,2
judy,phoebe,2
jack,monica,2
chandler,jack,2
jack,rachel,2
jack,joey,2
jack,ross,2
benjamin,charlie,2
mike's father,monica,2
mike's mother,monica,2
mike,mike's father,2
mike,mike's mother,2
chandler,mike's father,2
chandler,mike's mother,2
mike's father,rachel,2
joey,mike's father,2
mike's father,ross,2
mike's father,mike's mother,2
mike's father,phoebe,2
mike's mother,rachel,2
joey,mike's mother,2
mike's mother,ross,2
mike's mother,phoebe,2
erica,phoebe,2
paul,ross,1
paul,phoebe,1
joanne,monica,1
kiki,monica,1
leslie,ross,1
chandler,joanne,1
chandler,kiki,1
joanne,joey,1
joanne,ross,1
joanne,phoebe,1
joey,kiki,1
kiki,ross,1
kiki,phoebe,1
bob,monica,1
angela,chandler,1
angela,rachel,1
angela,bob,1
angela,ross,1
angela,phoebe,1
aurora,rachel,1
aunt lillian,mr. geller,1
janice,max,1
fun bobby,max,1
david,janice,1
david,fun bobby,1
fun bobby,sandy,1
phoebe,sandy,1
mrs. bing,paolo,1
monica,ronni,1
rachel,ronni,1
mr. tribbiani,roger,1
mr. tribbiani,ross,1
rachel,ursula,1
luisa,mr. heckles,1
barry,ross,1
barry,bobby,1
bernice,bobby,1
paulo,ross,1
chandler,mr. heckles,1
joey,mr. heckles,1
joey,russ,1
chandler,mrs. green,1
joey,mrs. green,1
mrs green,mrs. green,1
carol,mrs green,1
mrs green,susan,1
monica,susie,1
erica,rachel,1
joey,rob,1
phoebe,susie,1
michelle,monica,1
joey,michelle,1
michelle,richard,1
michelle,phoebe,1
eric,mr. heckles,1
margha,monica,1
joey's sisters,monica,1
joey's sisters,rachel,1
joey's sisters,ross,1
gunther,joey's sisters,1
joey's sisters,phoebe,1
rachel,robert,1
gunther,robert,1
chloe,joey,1
ross,sophie,1
gunther,mark,1
cailin,monica,1
cailin,tommy,1
cailin,rachel,1
cailin,joey,1
cailin,pete,1
monica,tommy,1
phoebe,tommy,1
lauren,rachel,1
chandler,vince,1
rachel,vince,1
joey,vince,1
ross,vince,1
chandler,robin,1
billy,chandler,1
rachel,robin,1
billy,rachel,1
joanna,joey,1
amanda,ross,1
chandler,cheryl,1
cheryl,rachel,1
cheryl,phoebe,1
frank,phoebe sr,1
monica,phoebe sr,1
alice,phoebe sr,1
phoebe sr,rachel,1
gunther,joshua,1
felicity,mr. waltham,1
felicity,mr. geller,1
felicity,mrs. geller,1
emily,felicity,1
felicity,ross,1
felicity,mrs. waltham,1
chandler,felicity,1
felicity,rachel,1
felicity,phoebe,1
dan,rachel,1
danny,tom,1
krista,monica,1
chandler,krista,1
joey,krista,1
bob,phoebe,1
katie,monica,1
chandler,katie,1
katie,phoebe,1
joey,kyle,1
carol,kyle,1
caitlin,joey,1
caitlin,grandma tribbiani,1
ross,stephanie,1
gunther,jill,1
kathy,tag,1
melissa,tag,1
kyle,monica,1
chandler,kyle,1
erin,ross,1
mr. zelner,tag,1
phoebe,tom,1
cecilia,monica,1
cecilia,rachel,1
melissa,monica,1
joey,melissa,1
melissa,ross,1
gunther,melissa,1
joey,mr. bing,1
gunther,mr. geller,1
gunther,mrs. geller,1
bob,ross,1
mona,ursula,1
eric,mona,1
dr. long,joey,1
joey,mr. zelner,1
monica,uncle dan,1
chandler,uncle dan,1
mr. geller,uncle dan,1
rachel,uncle dan,1
joey,uncle dan,1
mrs. geller,uncle dan,1
ross,uncle dan,1
phoebe,uncle dan,1
aunt lisa,uncle dan,1
dr. long,julie,1
julie,mrs. geller,1
dr. long,marc,1
marc,mrs. geller,1
bill,rachel,1
bill,phoebe,1
mr. zelner,ross,1
mike,molly,1
molly,phoebe,1
gavin,molly,1
chandler,tom,1
ross,tom,1
charlie,gunther,1
charlie,david,1
charlie,sarah,1
amanda,rachel,1
amanda,joey,1
estelle,judy,1
estelle,jack,1
estelle,ross,1
amy,charlie,1
